num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  spec. type   
92  ;    479.00;[SCG94] X 196                      ;?  ;03 47 58.7 +24 05 59                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
93  ;    486.42;[KRL2001] 22                       ;X  ;03 46 49.13 +24 08 33.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
94  ;    486.59;CXOP J034649.1+240833              ;Q? ;03 46 49.11 +24 08 33.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
95  ;    486.97;EXSS 0344.2+2406                   ;X  ;03 47 18.0 +24 15 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
96  ;    487.55;HD 282970                          ;** ;03 47 59.311 +24 05 57.04              ;     ~   ;10.67    ;10.11    ;10.33    ;G0             
97  ;    492.67;Cl* Melotte 22 BPL 122             ;Er*;03 47 01.8400266336 +24 13 28.281607500;     ~   ;     ~   ;20.18    ;     ~   ;M              
98  ;    494.19;[KRL2001] 15                       ;X  ;03 46 55.74 +24 01 52.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
99  ;    494.72;CXOP J034655.7+240151              ;X  ;03 46 55.76 +24 01 51.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
100 ;    496.31;CXOP J034647.9+240601              ;X  ;03 46 48.00 +24 06 01.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
101 ;    497.30;CXOP J034700.7+241322              ;X  ;03 47 00.76 +24 13 22.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
102 ;    497.60;Cl* Melotte 22 BPL 143             ;Er*;03 47 25.1032711008 +24 15 17.370789804;     ~   ;     ~   ;19.10    ;     ~   ;~              
103 ;    498.72;[KRL2001] 12                       ;X  ;03 47 00.80 +24 13 24.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
104 ;    501.92;CXOP J034705.9+235943              ;X  ;03 47 05.91 +23 59 43.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
105 ;    504.32;[KRL2001] 8                        ;X  ;03 47 05.71 +23 59 42.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
106 ;    508.51;Cl* Melotte 22 VM 17               ;*  ;03 46 54.0 +24 12 00                   ;     ~   ;17       ;     ~   ;     ~   ;~              
107 ;    513.73;[KRL2001] 25                       ;X  ;03 46 46.71 +24 07 57.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
