num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  spec. type   
1736;   3351.25;HD 23351                           ;SB*;03 45 20.8608183282 +24 55 19.454554726;     ~   ;9.46     ;9.03     ;     ~   ;F3V            
1737;   3353.64;HD 23440                           ;*  ;03 46 04.2 +24 59 52                   ;     ~   ;10.0     ;10.9     ;     ~   ;G              
1738;   3358.08;BD+22 558                          ;*  ;03 47 56.1595561560 +23 11 31.120722456;     ~   ;11.13    ;9.60     ;     ~   ;K3             
1739;   3358.17;V* V1051 Tau                       ;Y*O;03 51 16.8659230571 +23 49 35.786779748;     ~   ;13.37    ;12.37    ;     ~   ;~              
1740;   3359.56;Cl Melotte 22 2600                 ;*  ;03 50 13.7356140936 +24 47 32.145246060;     ~   ;     ~   ;13.06    ;     ~   ;~              
1741;   3359.77;Cl* Melotte 22 PLIZ 16             ;LM*;03 43 40.28880 +24 30 11.3976          ;     ~   ;     ~   ;     ~   ;     ~   ;M8.3           
1742;   3364.21;Cl Melotte 22 463                  ;*  ;03 44 49.7574662112 +23 23 25.884204540;     ~   ;     ~   ;13.17    ;     ~   ;~              
1743;   3364.69;HD 23924                           ;*  ;03 49 40.9233801600 +23 20 29.652869940;     ~   ;8.32     ;8.13     ;     ~   ;A5VkA7mA7      
1744;   3366.87;UGCS J034655.48+231116.0           ;*  ;03 46 55.490 +23 11 16.00              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1745;   3368.88;Cl* Melotte 22 CALAR 6             ;*  ;03 51 21.1 +23 52 10                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1746;   3369.20;HD 23269                           ;Er*;03 44 40.7575766283 +24 49 06.729381349;     ~   ;10.4     ;10.0     ;     ~   ;F8V            
1747;   3369.21;HD 283059                          ;*  ;03 51 20.2193594472 +24 22 56.326499508;     ~   ;11.62    ;10.39    ;     ~   ;K5             
1748;   3371.35;Cl* Melotte 22 DH 691              ;PM*;03 51 03.5995426824 +24 32 35.382309906;     ~   ;     ~   ;     ~   ;     ~   ;~              
1749;   3372.45;Cl* Melotte 22 CALAR 7             ;*  ;03 51 21.3391616736 +23 52 08.457290472;     ~   ;     ~   ;     ~   ;     ~   ;~              
1750;   3372.47;GSC 01804-02309                    ;*  ;03 47 25.0156922088 +25 03 12.437083692;     ~   ;     ~   ;     ~   ;     ~   ;~              
1751;   3376.90;V* MP Tau                          ;Er*;03 43 39.0357007331 +23 44 05.446201120;20.682   ;     ~   ;     ~   ;     ~   ;~              
1752;   3380.91;V* V461 Tau                        ;Er*;03 48 42.1415547343 +25 00 28.444164627;     ~   ;18.24    ;16.61    ;     ~   ;~              
1753;   3383.47;Cl Melotte 22 490                  ;*  ;03 44 54.4528902960 +23 22 10.801506036;     ~   ;     ~   ;13.03    ;     ~   ;~              
1754;   3383.75;Cl* Melotte 22 PLIZ 161            ;LM*;03 51 29.470 +24 00 37.40              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1755;   3383.90;[ZGB2014] R3                       ;BD?;03 48 28.18 +23 12 33.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1756;   3384.52;Cl* Melotte 22 DH 365              ;PM*;03 44 59.4673589160 +23 21 18.384019956;     ~   ;     ~   ;19.60    ;     ~   ;M5             
1757;   3386.60;GB6 B0344+2454                     ;Rad;03 47 02.60 +25 03 14.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1758;   3387.01;Cl Melotte 22 78                   ;*  ;03 43 19.0892715336 +24 15 11.190888720;     ~   ;14.54    ;12.8     ;     ~   ;M:             
1759;   3389.48;HD 282960B                         ;*  ;03 49 25.7269337252 +24 56 14.536061954;     ~   ;     ~   ;     ~   ;     ~   ;~              
1760;   3390.04;V* V631 Tau                        ;Er*;03 44 24.8130628461 +24 46 06.300036336;     ~   ;16.97    ;     ~   ;     ~   ;M1.5           
1761;   3390.13;HD 282960                          ;** ;03 49 25.704576 +24 56 15.44820        ;     ~   ;11.743   ;10.887   ;10.639   ;G2             
1762;   3390.25;HD 282960A                         ;*  ;03 49 25.7008999511 +24 56 15.617430711;     ~   ;     ~   ;     ~   ;     ~   ;~              
1763;   3390.33;[AKS95] 11                         ;*  ;03 43 25.02 +23 52 22.9                ;     ~   ;14.384   ;13.505   ;     ~   ;~              
1764;   3391.27;HD 23851                           ;V* ;03 49 10.7074660416 +23 16 01.818840000;     ~   ;10.75    ;9.04     ;     ~   ;K4             
1765;   3391.79;Cl Melotte 22 2126                 ;Y*O;03 49 02.3336482213 +23 15 08.771656641;     ~   ;12.50    ;11.64    ;     ~   ;K0V            
1766;   3392.44;Cl* Melotte 22 PLIZ 300            ;LM*;03 51 15.60427 +23 47 04.7802          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1767;   3396.21;Cl* Melotte 22 DH 283              ;Er*;03 43 43.1382135888 +24 32 56.352844320;22.956   ;     ~   ;     ~   ;     ~   ;~              
1768;   3396.49;Cl* Melotte 22 BPL 58              ;*  ;03 43 24.9821444400 +23 52 01.533874980;22.7     ;     ~   ;     ~   ;     ~   ;~              
1769;   3396.77;2MASS J03433440+2345429            ;Y*O;03 43 34.4113941165 +23 45 42.922748924;12.914   ;12.35    ;11.47    ;     ~   ;G8V            
1770;   3398.17;Cl* Melotte 22 BPL 232             ;*  ;03 51 11.8782827904 +23 44 43.492485012;     ~   ;     ~   ;     ~   ;     ~   ;~              
1771;   3399.05;Cl* Melotte 22 HHJ I10             ;*  ;03 48 28.8909901704 +25 01 41.759584068;     ~   ;     ~   ;     ~   ;     ~   ;~              
1772;   3400.50;V* V554 Tau                        ;Er*;03 50 13.4078029536 +23 25 38.971634484;     ~   ;     ~   ;     ~   ;     ~   ;~              
1773;   3404.46;BD+22 547                          ;*  ;03 46 06.0205738104 +23 13 08.482861560;     ~   ;11.2     ;9.95     ;     ~   ;K2             
1774;   3406.77;V* V382 Tau                        ;Y*O;03 51 25.3410322392 +23 53 21.768200052;     ~   ;15.419   ;14.060   ;     ~   ;K9V:           
1775;   3407.40;IRAS 03435+2302                    ;FIR;03 46 29.6 +23 11 36                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1776;   3407.82;Cl Melotte 22 2675                 ;*  ;03 50 26.5684641072 +24 45 43.263066744;     ~   ;13.62    ;     ~   ;     ~   ;~              
1777;   3409.79;Cl Melotte 22 2608                 ;*  ;03 50 15.2450252592 +24 48 21.934285848;     ~   ;14.22    ;     ~   ;     ~   ;~              
1778;   3411.02;BD+24 557                          ;PM*;03 46 06.1402865496 +25 01 01.435832400;     ~   ;11.27    ;10.75    ;     ~   ;F8             
1779;   3411.46;Cl* Melotte 22 IPL 24              ;*  ;03 43 16.86 +23 59 56.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1780;   3415.59;Cl Melotte 22 945                  ;*  ;03 46 12.2275395816 +23 12 29.840113728;     ~   ;14.35    ;13.29    ;     ~   ;K2             
1781;   3418.14;NSV 1329                           ;V* ;03 48 35.0 +23 12 24                   ;     ~   ;     ~   ;18.5     ;     ~   ;~              
1782;   3418.81;V* V632 Tau                        ;Y*O;03 44 21.9055121220 +24 46 06.290599502;     ~   ;14.14    ;13.10    ;12.81    ;~              
1783;   3420.12;Cl* Melotte 22 PLIZ 23             ;LM*;03 51 33.46284 +24 10 14.2474          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1784;   3420.61;Cl Melotte 22 977                  ;*  ;03 46 18.0 +25 02 00                   ;     ~   ;16.3     ;     ~   ;     ~   ;~              
1785;   3423.37;Cl* Melotte 22 BPL 186             ;Er*;03 48 40.5964593072 +25 01 20.003655756;     ~   ;     ~   ;     ~   ;     ~   ;~              
1786;   3424.74;Cl* Melotte 22 BPL 55              ;*  ;03 43 13.8957290256 +24 08 20.254360056;21.745   ;     ~   ;     ~   ;     ~   ;~              
1787;   3427.04;V* V1209 Tau                       ;dS*;03 43 13.8411983232 +24 05 09.479213268;     ~   ;     ~   ;     ~   ;     ~   ;~              
1788;   3428.18;V* V874 Tau                        ;Er*;03 48 41.8073403024 +25 01 19.721254764;     ~   ;17.5     ;     ~   ;     ~   ;~              
1789;   3428.73;[SCG94] X 275                      ;?  ;03 50 22.9 +24 47 06                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1790;   3429.07;UCAC4 570-008276                   ;*  ;03 43 23.2539591936 +23 51 25.602637680;     ~   ;16.913   ;15.704   ;15.444   ;~              
1791;   3429.77;UGCS J034857.40+231359.0           ;*  ;03 48 57.3980976096 +23 13 59.259593604;     ~   ;     ~   ;     ~   ;     ~   ;~              
1792;   3431.33;HD 282958                          ;Y*O;03 48 17.6915716635 +25 02 52.259199818;     ~   ;11.6     ;11.3     ;     ~   ;~              
1793;   3433.21;NVSS J035134+240823                ;Rad;03 51 34.72 +24 08 22.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1794;   3433.78;V* MT Tau                          ;Er*;03 43 57.3869749992 +23 34 41.959748208;     ~   ;15.47    ;14.29    ;13.80    ;G5V            
1795;   3434.01;Cl* Melotte 22 HHJ 40              ;Er*;03 43 39.7142068800 +23 41 32.719971012;23.323   ;     ~   ;     ~   ;     ~   ;~              
1796;   3435.29;Gaia DR3 66868521929273216         ;Y*?;03 50 05.0370493728 +24 50 59.801095212;     ~   ;     ~   ;     ~   ;     ~   ;~              
1797;   3437.75;DANCe J03431346+2411011            ;PM*;03 43 13.4522501232 +24 11 01.226285772;23.113   ;     ~   ;     ~   ;     ~   ;~              
1798;   3439.35;Cl Melotte 22 285                  ;*  ;03 44 12.6091467886 +24 44 15.362639080;     ~   ;11.84    ;11.52    ;     ~   ;F6             
1799;   3439.42;V* V348 Tau                        ;Y*O;03 48 26.5845315120 +23 11 29.802932952;     ~   ;19.098   ;17.450   ;     ~   ;M5             
1800;   3443.63;V* V1084 Tau                       ;RS*;03 44 20.5097544453 +24 46 22.305261833;     ~   ;11.92    ;11.04    ;10.7     ;G5V            
1801;   3448.79;V* MO Tau                          ;Er*;03 43 42.1404545160 +24 34 23.587609260;19.78    ;17.02    ;15.4     ;     ~   ;M3Ve           
1802;   3454.95;V* PW Tau                          ;Er*;03 46 57.0762651384 +25 04 15.375160092;     ~   ;     ~   ;     ~   ;     ~   ;~              
1803;   3455.18;Cl* Melotte 22 BPL 52              ;Er*;03 43 11.6286461832 +24 06 52.687630764;23.621   ;     ~   ;19.50    ;     ~   ;~              
1804;   3455.26;Cl* Melotte 22 SRS 52054           ;*  ;03 49 02.0860192392 +25 00 05.618165832;     ~   ;17.97    ;16.94    ;     ~   ;~              
1805;   3456.62;2MASS J03464854+2309578            ;PM*;03 46 48.5511118512 +23 09 57.870882036;     ~   ;     ~   ;     ~   ;     ~   ;~              
1806;   3457.54;TYC 1804-70-1                      ;*  ;03 51 13.7394608904 +24 31 06.685678668;     ~   ;12.19    ;11.70    ;     ~   ;~              
1807;   3459.47;Cl* Melotte 22 DH 267              ;** ;03 43 26.9620657752 +24 27 10.078899876;     ~   ;18.158   ;16.581   ;     ~   ;M3.5           
1808;   3459.65;V* V677 Tau                        ;Y*O;03 51 29.9401935192 +23 53 57.262301088;     ~   ;14.66    ;13.49    ;     ~   ;K6V:           
1809;   3460.06;HAT 260-10511                      ;*  ;03 51 27.2821457952 +23 51 34.681919400;     ~   ;     ~   ;     ~   ;     ~   ;~              
1810;   3460.42;Cl Melotte 22 580                  ;*  ;03 45 12.7009439784 +23 17 46.571700840;     ~   ;     ~   ;12.65    ;     ~   ;~              
1811;   3462.50;TYC 1800-462-1                     ;*  ;03 50 36.1211432616 +23 29 35.644443684;     ~   ;13.52    ;11.44    ;     ~   ;~              
1812;   3464.86;1RXS J035130.1+235344              ;X  ;03 51 30.101 +23 53 44.02              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1813;   3469.93;Cl Melotte 22 248                  ;Y*O;03 44 00.5947579976 +23 32 38.194384321;     ~   ;12.0     ;11.2     ;     ~   ;G4V            
1814;   3470.73;Gaia DR3 68297921402930944         ;WD?;03 43 25.3730478720 +24 26 43.376965332;     ~   ;     ~   ;     ~   ;     ~   ;~              
1815;   3474.05;Cl Melotte 22 92                   ;*  ;03 43 24.0 +24 26 00                   ;     ~   ;14.9     ;     ~   ;     ~   ;~              
1816;   3476.29;HAT 259-06461                      ;Y*O;03 43 28.9325305440 +23 45 16.777197072;     ~   ;     ~   ;     ~   ;     ~   ;~              
1817;   3478.71;[AKS95] 13                         ;*  ;03 43 31.86 +23 43 36.4                ;     ~   ;11.472   ;10.768   ;     ~   ;~              
1818;   3478.86;V* V1052 Tau                       ;Er*;03 51 30.9872776944 +24 20 50.115825816;     ~   ;     ~   ;     ~   ;     ~   ;~              
1819;   3480.06;Cl Melotte 22 453                  ;Y*O;03 44 50.6672581968 +24 53 20.445212256;     ~   ;     ~   ;13.26    ;     ~   ;~              
1820;   3480.12;Cl Melotte 22 81                   ;*  ;03 43 19.2030491256 +23 51 34.490117916;     ~   ;14.47    ;13.58    ;     ~   ;G8             
1821;   3481.19;HAT 260-03379                      ;*  ;03 51 32.3244150192 +23 54 43.752091752;     ~   ;     ~   ;     ~   ;     ~   ;~              
1822;   3481.78;LP 356-761                         ;PM*;03 43 15.6140347242 +23 54 44.862056012;     ~   ;19.0     ;     ~   ;17.3     ;~              
1823;   3482.85;V* V649 Tau                        ;Er*;03 47 23.8495353302 +23 08 57.146030876;     ~   ;18.4     ;17.33    ;     ~   ;~              
1824;   3483.52;Cl Melotte 22 83                   ;*  ;03 43 19.7213135232 +23 50 57.208569108;     ~   ;15.86    ;14.87    ;     ~   ;K0             
1825;   3483.99;UCAC4 567-007996                   ;*  ;03 45 27.4068516456 +23 15 25.931229660;     ~   ;13.940   ;12.800   ;12.460   ;~              
1826;   3484.65;HD 23157                           ;** ;03 43 41.5325750160 +23 38 56.977320660;     ~   ;8.25     ;7.95     ;     ~   ;A5V            
1827;   3485.46;[AKS95] 17                         ;*  ;03 44 00.68 +23 32 10.7                ;     ~   ;11.817   ;11.021   ;     ~   ;~              
1828;   3489.37;Cl* Melotte 22 BRB 33              ;LM*;03 51 20.13992 +23 45 18.2491          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1829;   3492.64;Cl* Melotte 22 HHJ 417             ;Er*;03 47 20.8285882212 +25 05 12.372242448;     ~   ;17.321   ;15.699   ;     ~   ;~              
1830;   3493.79;TYC 1804-2516-1                    ;*  ;03 47 42.0524028744 +25 05 05.103341376;     ~   ;12.23    ;11.59    ;     ~   ;~              
1831;   3496.70;V* V347 Tau                        ;Er*;03 48 26.7533546592 +25 03 30.323427084;     ~   ;16.90    ;15.78    ;15.74    ;~              
1832;   3498.62;2XMM J034430.6+244956              ;X  ;03 44 30.63 +24 49 56.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1833;   3502.72;IRAS 03420+2309                    ;FIR;03 44 58.6 +23 19 02                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1834;   3505.16;Cl* Melotte 22 PLIZ 1              ;LM*;03 51 05.9606513808 +24 36 17.059872672;     ~   ;     ~   ;     ~   ;     ~   ;~              
1835;   3505.65;V* V1038 Tau                       ;BY*;03 44 20.0898026175 +24 47 46.205031064;     ~   ;11.2     ;10.4     ;10.3     ;G1-2V          
1836;   3508.93;Cl Melotte 22 2406                 ;Y*O;03 49 39.4016007216 +23 17 24.383128632;     ~   ;11.86    ;11.10    ;     ~   ;G1             
1837;   3511.89;Wolf 1282                          ;PM*;03 46 46.3184906112 +23 09 06.492368232;     ~   ;12.15    ;11.70    ;     ~   ;~              
1838;   3514.51;Cl* Melotte 22 DH 626              ;Er*;03 49 32.1597095928 +23 16 18.113850696;     ~   ;     ~   ;     ~   ;     ~   ;~              
1839;   3515.37;DANCe J03431610+2422280            ;PM*;03 43 16.0928694168 +24 22 28.275616704;     ~   ;     ~   ;     ~   ;     ~   ;~              
1840;   3517.79;Cl* Melotte 22 SRS 72240           ;PM*;03 44 40.6803079152 +23 21 49.617919440;     ~   ;18.06    ;16.34    ;     ~   ;~              
1841;   3521.29;Cl* Melotte 22 IPL 7               ;*  ;03 43 21.38 +23 47 43.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1842;   3524.48;GSC 01804-02470                    ;*  ;03 47 00.1517951976 +25 05 29.439751272;     ~   ;11.5     ;     ~   ;     ~   ;~              
1843;   3525.47;V* V1169 Tau                       ;BY*;03 44 13.9194344229 +24 46 45.826637312;     ~   ;11.50    ;10.80    ;     ~   ;G0             
1844;   3527.08;Cl Melotte 22 415                  ;*  ;03 44 39.4098535104 +23 21 52.028555148;     ~   ;     ~   ;13.96    ;     ~   ;~              
1845;   3527.14;Cl Melotte 22 2209                 ;Er*;03 49 12.3074708621 +23 13 42.042430488;     ~   ;15.85    ;14.38    ;     ~   ;K6.5Ve         
1846;   3527.28;UGCS J035042.14+232933.0           ;PM*;03 50 42.1402755936 +23 29 33.335711088;     ~   ;     ~   ;     ~   ;     ~   ;~              
1847;   3528.32;Gaia DR3 66843881699730432         ;WD?;03 48 16.2247492968 +25 04 35.676714252;     ~   ;     ~   ;     ~   ;     ~   ;~              
1848;   3529.62;[SHM2017] J055.82058+23.83995      ;RR*;03 43 16.9373114520 +23 50 23.731323972;     ~   ;     ~   ;     ~   ;     ~   ;~              
1849;   3529.89;V* V620 Tau                        ;Er*;03 43 20.5660821888 +24 26 35.225177784;     ~   ;     ~   ;     ~   ;     ~   ;~              
1850;   3530.45;[SCG94] X 281                      ;?  ;03 50 37.2 +24 46 06                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1851;   3531.32;UCAC4 576-008964                   ;*  ;03 46 16.4189393544 +25 03 48.892777092;     ~   ;14.29    ;13.34    ;13.17    ;~              
1852;   3539.68;GSC 01804-01261                    ;*  ;03 49 43.6105165080 +24 56 43.270411200;     ~   ;     ~   ;13.75    ;     ~   ;~              
1853;   3540.05;Cl* Melotte 22 HHJ I12             ;*  ;03 49 38.3653775760 +24 57 28.279563012;     ~   ;     ~   ;     ~   ;     ~   ;~              
1854;   3540.46;Cl* Melotte 22 DH 258              ;Er*;03 43 16.5973165403 +23 50 01.631805592;20.572   ;     ~   ;18.48    ;     ~   ;~              
1855;   3542.20;Cl Melotte 22 2106                 ;Y*O;03 48 58.4864992200 +23 12 04.243870368;     ~   ;12.39    ;11.53    ;     ~   ;K0V            
1856;   3544.33;[SCG94] X 16                       ;?  ;03 43 21.5 +24 27 53                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1857;   3545.67;Gaia DR3 64921389914137984         ;*  ;03 48 59.7615834720 +23 12 07.466671476;     ~   ;     ~   ;     ~   ;     ~   ;~              
1858;   3546.52;1RXS J034344.4+233548              ;X  ;03 43 44.400 +23 35 48.52              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1859;   3547.82;V* V785 Tau                        ;Er*;03 44 50.1780343951 +24 54 40.045323288;     ~   ;14.53    ;13.34    ;     ~   ;K5Ve           
1860;   3548.50;[ZGB2014] NPM02                    ;BD?;03 43 08.58 +23 57 10.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1861;   3549.47;HD 24097                           ;*  ;03 51 11.3932591488 +24 35 35.578306968;     ~   ;10.49    ;9.28     ;     ~   ;K0             
1862;   3549.89;Cl* Melotte 22 DH 278              ;Er*;03 43 37.1005751991 +23 38 32.255882339;     ~   ;     ~   ;16.97    ;     ~   ;~              
1863;   3553.74;HD 282959                          ;*  ;03 48 34.6020409234 +25 04 00.785158430;     ~   ;11.48    ;10.94    ;     ~   ;A3             
1864;   3554.42;Cl* Melotte 22 CFHT 14             ;LM*;03 43 14.200 +24 23 21.30              ;     ~   ;     ~   ;     ~   ;     ~   ;M6             
1865;   3557.34;Cl* Melotte 22 PLIZ 12             ;LM*;03 51 25.5680723568 +23 45 21.465842004;     ~   ;     ~   ;     ~   ;     ~   ;M8.0           
1866;   3558.06;HD 24027                           ;*  ;03 50 34.3672860792 +24 47 29.675332860;     ~   ;10.62    ;10.22    ;     ~   ;G              
1867;   3558.07;HD 23431                           ;*  ;03 45 59.4349238088 +25 03 05.908146228;     ~   ;10.08    ;9.68     ;     ~   ;A2             
1868;   3558.96;2MASS J03433195+2340266            ;Y*O;03 43 31.9532712265 +23 40 26.598684947;11.949   ;11.5     ;11.1     ;     ~   ;G1             
1869;   3560.08;V* MY Tau                          ;Y*O;03 44 27.3009448683 +24 50 38.308913221;     ~   ;15.51    ;14.13    ;13.58    ;M0.5e          
1870;   3560.63;UCAC4 573-008578                   ;*  ;03 43 22.4084179536 +24 29 10.382649252;     ~   ;13.217   ;12.449   ;12.257   ;~              
1871;   3561.04;V* V506 Tau                        ;Er*;03 43 13.4856132864 +24 23 11.041616400;     ~   ;17.0     ;     ~   ;     ~   ;~              
1872;   3562.94;Cl Melotte 22 123                  ;V* ;03 43 34.8448111032 +24 35 19.540592304;     ~   ;     ~   ;     ~   ;13.64    ;~              
1873;   3563.31;V* V1019 Tau                       ;Er*;03 51 43.6986508872 +24 11 10.645959876;     ~   ;     ~   ;     ~   ;     ~   ;~              
1874;   3563.95;[ZGB2014] R2                       ;BD?;03 48 01.30 +23 08 13.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1875;   3564.36;V* MY Tau B                        ;PM*;03 44 27.1788663696 +24 50 42.600994332;     ~   ;     ~   ;     ~   ;     ~   ;~              
1876;   3568.15;HD 23158                           ;SB*;03 43 42.8773509420 +23 35 41.208537362;     ~   ;10.04    ;9.58     ;     ~   ;F5V            
1877;   3568.57;DANCe J03510329+2335000            ;*  ;03 51 03.2762711088 +23 35 00.338877636;     ~   ;     ~   ;     ~   ;     ~   ;~              
1878;   3570.95;Cl Melotte 22 365                  ;*  ;03 44 29.1 +23 22 57                   ;     ~   ;14.9     ;     ~   ;     ~   ;~              
1879;   3573.80;UCAC4 573-008595                   ;*  ;03 43 34.6612077384 +24 35 37.743684036;     ~   ;14.22    ;12.57    ;12.09    ;~              
1880;   3576.04;IRAS 03406+2327                    ;FIR;03 43 39.3 +23 36 46                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1881;   3576.51;Cl Melotte 22 364                  ;*  ;03 44 28.9 +23 22 52                   ;     ~   ;14.2     ;     ~   ;     ~   ;~              
1882;   3577.72;Gaia DR3 65252922732091008         ;WD?;03 43 06.0231648864 +23 57 42.482377764;     ~   ;     ~   ;     ~   ;     ~   ;~              
1883;   3578.48;1AXG J034423+2450                  ;X  ;03 44 23.2 +24 50 11                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1884;   3580.30;GSC 01804-02464                    ;*  ;03 47 55.7522643576 +25 06 14.014598832;     ~   ;     ~   ;12.46    ;     ~   ;~              
1885;   3584.92;ZwCl 0340+2429                     ;ClG;03 43 40.9 +24 38 27                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1886;   3586.84;[SCG94] X 277                      ;?  ;03 50 31.6 +24 48 51                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1887;   3589.17;GAT 1066                           ;*  ;03 47 40.5 +23 07 18                   ;     ~   ;12.02    ;10.69    ;     ~   ;~              
1888;   3589.70;Cl* Melotte 22 BPL 234             ;*  ;03 51 22.4705581224 +23 42 19.202108868;     ~   ;     ~   ;     ~   ;     ~   ;~              
1889;   3590.86;2MASS J03494362+2316242            ;*  ;03 49 43.6307665296 +23 16 24.203606160;     ~   ;     ~   ;     ~   ;     ~   ;~              
1890;   3592.63;Cl* Melotte 22 IPL 4               ;*  ;03 43 26.65 +23 41 39.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1891;   3597.49;Cl* Melotte 22 SK 432              ;Er*;03 47 15.2788864800 +25 06 55.523028168;     ~   ;18.361   ;16.701   ;16.11    ;~              
1892;   3598.89;ATO J057.6504+24.8011              ;V* ;03 50 36.1081950505 +24 48 04.122834889;     ~   ;15.469   ;14.352   ;14.506   ;~              
1893;   3599.28;UCAC4 576-009091                   ;*  ;03 48 13.3900383888 +25 05 55.697086572;     ~   ;13.219   ;12.503   ;12.303   ;~              
1894;   3602.34;Cl* Melotte 22 ROQUE 21            ;LM*;03 43 27.83112 +24 33 39.6972          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1895;   3603.11;V* AH Tau                          ;EB*;03 47 11.9661390480 +25 06 59.375707992;     ~   ;11.59    ;11.07    ;11.09    ;G1p            
1896;   3605.00;Cl* Melotte 22 IPL 5               ;*  ;03 43 26.34 +23 41 19.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1897;   3612.14;IRAS 03471+2311                    ;FIR;03 50 08.8 +23 20 04                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1898;   3613.05;2MASS J03434860+2332218            ;Y*O;03 43 48.6023686968 +23 32 21.806723760;16.839   ;15.39    ;14.02    ;     ~   ;K5.5e          
1899;   3617.42;Cl* Melotte 22 IPL 8               ;PM*;03 43 13.8851715312 +23 47 46.310915040;     ~   ;     ~   ;     ~   ;     ~   ;~              
1900;   3617.99;Cl* Melotte 22 DH 716              ;*  ;03 51 34.2511641915 +23 47 50.044471309;     ~   ;     ~   ;     ~   ;     ~   ;~              
1901;   3618.25;Cl* Melotte 22 ANON P3             ;*  ;03 45 36.0 +23 12 00                   ;     ~   ;19.4     ;18.4     ;     ~   ;~              
1902;   3621.42;V* V474 Tau                        ;Er*;03 51 47.1635348040 +24 13 20.213446152;     ~   ;15.8     ;     ~   ;     ~   ;~              
1903;   3621.81;Cl* Melotte 22 DH 720              ;PM*;03 51 39.1896949512 +23 51 18.437663664;     ~   ;     ~   ;     ~   ;     ~   ;~              
1904;   3625.83;HD 24132                           ;*  ;03 51 27.2143557432 +24 31 07.142738880;9.3      ;9.24     ;8.84     ;8.49     ;F2Vn           
1905;   3626.23;Cl* Melotte 22 BPL 50              ;Er*;03 43 01.2558868296 +24 14 52.563949152;27.081   ;     ~   ;     ~   ;     ~   ;~              
1906;   3626.27;Cl* Melotte 22 DH 576              ;Er*;03 48 23.9130267792 +23 08 08.438297712;     ~   ;     ~   ;     ~   ;     ~   ;~              
1907;   3629.91;[SCG94] X 299                      ;?  ;03 51 44.0 +24 19 05                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1908;   3631.82;Gaia DR3 66663012035429504         ;*  ;03 51 06.9040455432 +24 39 59.257723392;     ~   ;     ~   ;     ~   ;     ~   ;~              
1909;   3634.54;Cl Melotte 22 396                  ;*  ;03 44 36.0 +24 54 00                   ;     ~   ;15.3     ;     ~   ;     ~   ;~              
1910;   3635.10;UGCS J034646.61+250658.5           ;G  ;03 46 46.59683 +25 06 59.1428          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1911;   3635.99;PLHX 21                            ;X  ;03 46 26.8 +23 07 50                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1912;   3636.11;TYC 1804-245-1                     ;*  ;03 51 05.7086124024 +24 40 32.090901528;     ~   ;12.44    ;11.24    ;     ~   ;~              
1913;   3636.93;DANCe J03441096+2448456            ;Er*;03 44 10.9513461111 +24 48 46.052986694;     ~   ;     ~   ;     ~   ;     ~   ;~              
1914;   3637.90;NSV 1235                           ;V* ;03 43 05.8436237088 +23 52 51.580282440;     ~   ;     ~   ;17.79    ;     ~   ;~              
1915;   3638.98;BD+23 572                          ;*  ;03 51 15.3216819240 +23 37 18.409630188;     ~   ;10.96    ;10.46    ;     ~   ;F0             
1916;   3639.57;V* V630 Tau                        ;Er*;03 44 24.6823879427 +24 51 53.527011222;     ~   ;     ~   ;     ~   ;     ~   ;~              
1917;   3641.32;Cl* Melotte 22 DH 723              ;*  ;03 51 42.3086609537 +24 21 41.434317345;     ~   ;     ~   ;     ~   ;     ~   ;~              
