num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;     spec. type      
2219;   2997.21;FIRST J083651.9+193814             ;AG?;08 36 51.9594 +19 38 14.319            ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2220;   2999.03;SDSS J083652.16+193644.7           ;G  ;08 36 52.165 +19 36 44.70              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2221;   2999.77;SDSS J083732.30+200930.6           ;QSO;08 37 32.301 +20 09 30.60              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2222;   3005.08;HD 73871A                          ;*  ;08 41 15.308573 +20 28 36.84066        ;     ~   ;7.16     ;7.09     ;     ~   ;~                    
2223;   3005.10;HD 73871                           ;** ;08 41 15.31077 +20 28 36.8526          ;     ~   ;8.83     ;8.83     ;7.88     ;A0III                
2224;   3005.20;HD 73871B                          ;*  ;08 41 15.332908 +20 28 36.87486        ;     ~   ;8.25     ;8.05     ;     ~   ;~                    
2225;   3006.87;SDSS J084145.23+185341.8           ;QSO;08 41 45.2351698464 +18 53 41.800786980;     ~   ;19.79    ;19.64    ;     ~   ;~                    
2226;   3008.83;Cl* NGC 2632 S 6                   ;*  ;08 36 58.3853405832 +19 27 01.055757528;     ~   ;12.19    ;11.84    ;     ~   ;~                    
2227;   3009.15;Cl* NGC 2632 KW 464                ;*  ;08 42 30.1680004512 +18 59 38.055126696;     ~   ;14.0     ;     ~   ;     ~   ;~                    
2228;   3009.97;2MASX J08434809+1954330            ;G  ;08 43 48.061 +19 54 34.42              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2229;   3011.51;Cl* NGC 2632 KW 509                ;*  ;08 43 23.0837811744 +19 12 51.309341640;     ~   ;13.8     ;     ~   ;     ~   ;~                    
2230;   3011.66;Cl* NGC 2632 JS 556                ;Ro*;08 43 56.7235919832 +19 43 32.290129128;     ~   ;14.376   ;13.243   ;     ~   ;K4V                  
2231;   3012.86;Gaia DR3 664445498120987008        ;*  ;08 39 22.3309934208 +20 28 04.852715592;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2232;   3013.05;2MASS J08392233+2028050            ;** ;08 39 22.33368 +20 28 05.0628          ;     ~   ;     ~   ;     ~   ;     ~   ;M1.5                 
2233;   3013.15;Cl* NGC 2632 KW 401                ;Ro*;08 41 30.7065278468 +18 52 18.719809334;     ~   ;13.649   ;12.727   ;     ~   ;K3.1                 
2234;   3013.50;** BOV 49B                         ;*  ;08 41 30.6032579832 +18 52 17.870942676;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2235;   3014.52;Gaia DR3 664445493825417472        ;*  ;08 39 22.3063011864 +20 28 06.482087904;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2236;   3015.19;Cl* NGC 2632 JS 285                ;*  ;08 39 18.8690384304 +20 27 52.159661568;     ~   ;18.64    ;16.42    ;     ~   ;M2V                  
2237;   3015.60;Cl* NGC 2632 HSHJ 280              ;*  ;08 39 40.0723036536 +18 50 49.249291884;     ~   ;     ~   ;     ~   ;     ~   ;M4.4                 
2238;   3015.67;LEDA 86664                         ;LSB;08 36 50.5 +19 40 06                   ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2239;   3016.77;FIRST J084039.9+184951             ;AG?;08 40 39.8842 +18 49 51.627            ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2240;   3019.02;LEDA 1602598                       ;G  ;08 36 50.5 +19 42 30                   ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2241;   3019.64;UCAC4 548-046315                   ;*  ;08 43 47.0763538969 +19 24 23.559186118;     ~   ;     ~   ;12.188   ;12.000   ;~                    
2242;   3020.10;SDSS J084250.23+190320.4           ;QSO;08 42 50.238 +19 03 20.43              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2243;   3021.28;SDSS J084257.78+190504.0           ;BiC;08 42 57.782 +19 05 04.09              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2244;   3021.52;SDSS J083943.77+202927.8           ;G  ;08 39 43.7813133120 +20 29 27.917326968;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2245;   3023.51;UGCS J083954.96+202955.7           ;LM*;08 39 54.96 +20 29 55.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2246;   3025.06;HD 73994                           ;SB*;08 41 57.8226514296 +18 54 42.178179528;     ~   ;9.84     ;9.44     ;     ~   ;F5V                  
2247;   3025.34;Gaia DR3 664437728524069376        ;*  ;08 41 10.8982783584 +20 29 12.312268152;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2248;   3026.67;SDSS J083907.41+185254.2           ;QSO;08 39 07.420 +18 52 54.22              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2249;   3027.38;2MASS J08381655+1859287            ;*  ;08 38 16.5589202357 +18 59 28.710772586;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2250;   3028.12;SDSS J084059.99+202945.3           ;QSO;08 40 59.995 +20 29 45.36              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2251;   3028.33;2MASS J08432388+1912383            ;*  ;08 43 23.9021106048 +19 12 38.273859864;     ~   ;     ~   ;     ~   ;     ~   ;M4.5                 
